epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,3686,0.5834,0.26354,0.00205,0.92622,0.92536,0.96512,0.753,0.89326,0.3784,0.00311,0.000699645,0.000699645,0.000699645
154,3710.06,0.59053,0.26583,0.00208,0.97704,0.91206,0.97053,0.73798,0.97929,0.33173,0.00335,0.000697669,0.000697669,0.000697669
155,3734.01,0.57631,0.26161,0.00208,0.97127,0.93259,0.97019,0.72071,1.04229,0.3351,0.00356,0.000695693,0.000695693,0.000695693
156,3758.03,0.59215,0.27051,0.00214,0.95787,0.91787,0.96527,0.76418,0.85685,0.33727,0.003,0.000693717,0.000693717,0.000693717
157,3781.98,0.58522,0.26933,0.00207,0.94866,0.90483,0.96408,0.7733,0.80457,0.35617,0.00287,0.000691741,0.000691741,0.000691741
158,3806,0.61421,0.28536,0.00216,0.96265,0.91144,0.96918,0.73618,0.95028,0.34067,0.00326,0.000689765,0.000689765,0.000689765
159,3829.82,0.5679,0.25296,0.00201,0.96974,0.91244,0.96721,0.75787,0.87141,0.3259,0.00305,0.000687789,0.000687789,0.000687789
160,3853.94,0.56702,0.26047,0.00195,0.95324,0.90764,0.96602,0.75738,0.87232,0.36288,0.00305,0.000685813,0.000685813,0.000685813
161,3877.97,0.57547,0.26159,0.00202,0.96975,0.91575,0.96628,0.7678,0.83597,0.32566,0.00295,0.000683837,0.000683837,0.000683837
162,3901.97,0.55572,0.26501,0.00198,0.96313,0.92053,0.96457,0.76694,0.83527,0.32592,0.00294,0.000681861,0.000681861,0.000681861
163,3925.82,0.56193,0.26242,0.00199,0.95044,0.92979,0.96678,0.76644,0.83671,0.33359,0.00294,0.000679885,0.000679885,0.000679885
164,3949.76,0.55534,0.25608,0.00196,0.95437,0.9123,0.95882,0.75813,0.84999,0.359,0.00304,0.000677909,0.000677909,0.000677909
165,3973.83,0.55577,0.25245,0.00197,0.9619,0.91744,0.96725,0.7447,0.91969,0.35334,0.00318,0.000675933,0.000675933,0.000675933
166,3997.85,0.56527,0.27283,0.00202,0.97173,0.91623,0.97042,0.75585,0.89114,0.331,0.00309,0.000673957,0.000673957,0.000673957
167,4021.81,0.5966,0.26955,0.00212,0.96078,0.91926,0.96668,0.77162,0.82728,0.32188,0.00292,0.000671981,0.000671981,0.000671981
168,4045.85,0.58738,0.2538,0.00208,0.95765,0.89772,0.96197,0.7638,0.85366,0.36853,0.00301,0.000670005,0.000670005,0.000670005
169,4069.9,0.56782,0.26269,0.002,0.94502,0.914,0.95954,0.76139,0.84229,0.3688,0.00299,0.000668029,0.000668029,0.000668029
170,4093.9,0.57843,0.2696,0.00203,0.96275,0.91621,0.96765,0.75065,0.89536,0.33683,0.00311,0.000666053,0.000666053,0.000666053
171,4117.77,0.55981,0.26073,0.00196,0.96697,0.9111,0.96443,0.77398,0.81706,0.3234,0.00291,0.000664077,0.000664077,0.000664077
172,4141.7,0.56705,0.27278,0.00198,0.96322,0.9009,0.9624,0.77526,0.8002,0.33813,0.00287,0.000662101,0.000662101,0.000662101
173,4165.74,0.56223,0.25979,0.002,0.93231,0.92774,0.96644,0.76147,0.85885,0.34928,0.00299,0.000660125,0.000660125,0.000660125
174,4189.72,0.56393,0.25328,0.002,0.93296,0.89816,0.96494,0.76142,0.84581,0.38618,0.003,0.000658149,0.000658149,0.000658149
175,4213.64,0.53599,0.24849,0.00188,0.96096,0.9022,0.96546,0.7513,0.89665,0.34927,0.00312,0.000656173,0.000656173,0.000656173
176,4237.57,0.55249,0.26018,0.00194,0.95423,0.92852,0.9662,0.76122,0.86733,0.32373,0.00303,0.000654197,0.000654197,0.000654197
